我,ngo˩˧,,,我;吾;余;予,ngo˩˧;ng˨˩;jyu˨˩;jyu˨˩,ngaS;nguP;yoP;yoP,,,我,ngo˩˧,ngoi˧,,,我,ngo˩˧,wo˨˩˦,,
我 哋,ngo˩˧ dei˨,,,我;吾;余,ngo˩˧;ng˨˩;jyu˨˩,ngaS;nguP;yoP,,,偔,ngok˨,ngoi˨˩,,,我 們,ngo˩˧ mun˨˩,wo˨˩ men˨˧,,
我 嘅,ngo˩˧ ge˧,,,吾,ng˨˩,nguP,,,我 個,ngo˩˧ go˧,ngoi˧ goi˧,,,我 的,ngo˩˧ dik˥,wo˨˩ de˧,,
我 哋 嘅,ngo˩˧ dei˨ ge˧,,,我,ngo˩˧,ngaS,,,偔 個,ngok˨ go˧,ngoi˨˩ goi˧,,,我 們 的,ngo˩˧ mun˨˩ dik˥,wo˨˩ men˨˧ de˧˨,,
你,nei˩˧,,,爾;汝;而;若,ji˩˧;jyu˩˧;ji˨˩;joek˨,nyeS;nyoS;nyiP;nyakY,,'汝'多用於稱同輩或者後輩。,你,nei˩˧,nei˧,,,你,nei˩˧,ni˨˩˦,,
你 哋,nei˩˧ dei˨,,,爾;若,ji˩˧;joek˨,nyeS;nyakY,,,偌,je˨,niak˨˩,,,你 們,nei˩˧ mun˨˩,ni˨˩ men˨˧,,
你 嘅,nei˩˧ ge˧,,,而;若,ji˨˩;joek˨,nyiP;nyakY,,,你 個,nei˩˧ go˧,nei˧ goi˧,,,你 的,nei˩˧ dik˥,ni˨˩ de˧,,
你 哋 嘅,nei˩˧ dei˨ ge˧,,,若,joek˨,nyakY,,,偌 個,je˨ go˧,niak˨˩ goi˧,,,你 們 的,nei˩˧ mun˨˩ dik˥,ni˨˩ men˨˧ de˧˨,,
佢,keoi˩˧,,,之;彼;伊,zi˥˧;bei˧˥;ji˥˧,tsyiP;pjeS;'jijP,,文言文冇真嘅第三人稱代詞，<a href="#third-person">睇多</a>,佢,keoi˩˧,kui˧,,,他;她;它,taa˥˧;taa˥˧;taa˥˧,ta˥;ta˥;ta˥,,
佢 哋,keoi˩˧ dei˨,,,之,zi˥˧,tsyiP,,文言文冇真嘅第三人稱代詞，<a href="#third-person">睇多</a>,㑢;却;屐,koek˧;koek˧;kek˨,kiak˨˩;kiak˨˩;kiak˨˩,,,他 們;她 們;它 們,taa˥˧ mun˨˩;taa˥˧ mun˨˩;taa˥˧ mun˨˩,ta˥ men˦˩;ta˥ men˦˩;ta˥ men˦˩,,
佢 嘅,keoi˩˧ ge˧,,,其;之,kei˨˩;zi˥˧,giP;tsyiP,,,佢 個,keoi˩˧ go˧,kui˧ goi˧,,,他 的;她 的;它 的,taa˥˧ dik˥;taa˥˧ dik˥;taa˥˧ dik˥,ta˥ de˦˩;ta˥ de˦˩;ta˥ de˦˩,,
佢 哋 嘅,keoi˩˧ dei˨ ge˧,,,其,kei˨˩,giP,,,㑢 個;却 個;屐 個,koek˧ go˧;koek˧ go˧;kek˨ go˧,kiak˨˩ goi˧;kiak˨˩ goi˧;kiak˨˩ goi˧,,,他 們 的;她 們 的;它 們 的,taa˥˧ mun˨˩ dik˥;taa˥˧ mun˨˩ dik˥;taa˥˧ mun˨˩ dik˥,ta˥ men˦˩ de˨˩;ta˥ men˦˩ de˨˩;ta˥ men˦˩ de˨˩,,
人 哋,jan˨˩ dei˨,,,人,jan˨˩,nyinP,,,(人) 偌;老 哥,jan˨˩ je˨;lou˩˧ go˥˧,ngin˨ niak˥;lau˥ go˥,,,人 家;人 們,jan˨˩ gaa˥˧;jan˨˩ mun˨˩,ren˧˥ jia˨˩;ren˧˥ men˨˩,,
嘅,ge˧,,,之,zi˥˧,tsyiP,,,個,go˧,goi˧,,,的,dik˥,de,,
唔,m˨˩,,,不;非,bat˥;fei˥˧,pjutY;pj+jP,,,唔,m˨˩,m˨,,,不,bat˥,bu˥˩,,
唔 好,m˨˩ hou˧˥,,,勿;莫,mat˨;mok˨,mjutY;makY,,,唔 好,m˨˩ hou˧˥,mau˥ ,,,不 好,bat˥ hou˧˥,bu˥˩ hao˨˩˦,,
呢,ni˥˧,,,此,ci˧˥,tshjeS,,,該,goi˥˧,koi˨˩,,,這,ze˧˥,zhe˥˩,,
嗰,go˧˥,,,彼,bei˧˥,pjeS,,,窮;嚀,kung˨˩;ning˨˩,keong˨˩˦;nen˨˩˦,,,那,naa˩˧,na˥˩,,
係,hai˨,,,， 也, jaa˩˧, yaeS,,,係,hai˨,hai˧˨,,,是,shi˨,shi˥˩,,
喺,hai˧˥,,,於;在,jyu˥˧;tsoi˨,'joP;dzojH,,,到;响,dou˧;hoeng˧˥,au˧;hiang˥,,,在,tsoi˨,zai˥˩,,
冇,mou˧˥,,,無;毋,mou˨˩;mou˨˩,mjuP;mjuP,,,冇;未 曾,mou˧˥;mei˨ cang˨˩,mau˧;miang˨˩ ,,,沒有,mut˨ jau˩˧,mei˧˥ you˥˨,,
仲,zung˨,,,猶;尚,jau˨˩;shoeng˨,yuwP;dzyangH,,,還,waan˨˩,van˨˩,,,還,waan˨˩,hai˧˥,,
