邊,pi:n˥˧,bin1,bìn,pin,bin˥˧,which/who/where
怕,p<sup>h</sup>a:˧,paa3,pa,p'à,paa˧,to be scared of/to fear
名,mɛ:ŋ˧˥,meng2,méng,méng,meng˧˥,name
快,fa:i˧,faai3,faai,fàai,faai˧,fast
哋,tei˨,dei6,deih,têi,dei˨,plural particle
檯,t<sup>h</sup>ɔ:y˧˥,toi2,tói,t'ói,toi˧˥,table
呢,ni˥,ni1,nī,ni,ni˥,this/these
嚟,lɐi˨˩,lai4,làih,lāi,lai˨˩,to come
渣,tɕa:˧˥,zaa2,já,chá,zaa˧˥,poor quality/bad at something
凈,tsɪŋ˨,zing6,jihng,tsîng,tsing˨,only
出,tɕ<sup>h</sup>ɵt˥,ceot1,chēut,ch'ut,cheot˥,outside/to go outside
全,ts<sup>h</sup>y:n˨˩,cyun4,chyùhn,ts'ūen,cyun˨˩,all/fully
食,ɕɪk˨,sik6,sihk,shîk,shik˨,to eat
晒,sa:i˧,saai3,saai,sàai,saai˧,completeness particle
用,jʊ:ŋ˨,jung6,yuhng,yûng,jung˨,to use
經,kɪŋ˥˧,ging1,gìng,king,ging˥˧,historically-significant book/via
琴,k<sup>h</sup>ɐm˨˩,kam4,kàhm,k'ām,kam˨˩,yesterday
行,ha:ŋ˨˩,haang4,hàahng,hāang,haang˨˩,to walk
啱,ŋa:m˥˧,ngaam1,ngàam,ngaam,ngaam˥˧,correct
貴,k<sup>w</sup>ɐi˧,gwai3,gwai,kwài,gwai˧,expensive
困,k<sup>wh</sup>ɐn˧,kwan3,kwan,kw'àn,kwan˧,to trap/to lock up
喂,wei˧˥,wei2,wéi,wéi,wei˧˥,hey/hello on the phone
